train,test,is_feasible,is_RF,is_PF,is_DD%,is_trades,oos_RF,oos_PF,oos_DD%,oos_trades,oos_net,oosDEF_RF,oosDEF_PF,oosDEF_net
2010-2012,2013,True,5.4153,1.4945,8.1902,258,-0.5573,0.7585,23.8478,115,-693.4051,-0.5354,0.6588,-378.6077
2011-2013,2014,False,1.0689,1.2983,9.3296,132,-0.6859,0.5982,9.998,40,-347.3448,0.5171,1.1969,131.9282
2012-2014,2015,True,2.4051,1.3175,13.4681,243,-0.0182,0.9917,14.8915,79,-14.8493,1.6108,2.0334,459.4937
2013-2015,2016,True,3.7494,1.4113,6.213,168,0.6268,1.2387,5.4645,43,186.1183,2.0389,1.9908,420.1145
2014-2016,2017,True,3.1792,1.3697,10.1819,191,-0.5844,0.6495,12.9048,52,-389.0734,0.2643,1.1716,45.1468
2015-2017,2018,True,4.1004,1.5475,6.673,162,-0.6105,0.6531,11.3626,56,-362.8999,-0.4791,0.6694,-169.6832
2016-2018,2019,False,0.7932,1.1773,9.8719,159,0.9645,1.3674,6.5665,59,345.3753,-0.7358,0.4874,-326.7719
2017-2019,2020,False,1.9676,1.6182,9.9407,129,0.3208,1.2153,8.8693,44,160.9638,1.9179,1.9498,349.8209
2018-2020,2021,True,6.7555,1.362,10.2949,536,-0.9068,0.5182,53.5233,175,-2532.1205,-0.0659,0.9709,-16.8208
2019-2021,2022,False,1.7503,1.2648,8.5378,147,0.17,1.1155,13.6192,51,124.3384,-0.7993,0.5513,-196.1506
2020-2022,2023,True,1.8811,1.3872,9.996,153,-0.8446,0.6992,7.8495,44,-333.5696,-0.746,0.4102,-311.6062
2021-2023,2024,False,0.6347,1.1388,10.9522,150,-0.8568,0.4093,16.3276,53,-704.994,0.0054,1.0031,1.2854
2022-2024,2025,False,0.7043,1.2853,9.8657,98,0.3721,1.1612,3.5734,38,68.8188,0.9205,1.3854,129.9229
2023-2025,2026,False,0.5391,1.1493,7.2877,97,0.5478,1.3637,3.254,18,91.2731,0.537,1.5842,64.3219
