train,test,is_feasible,is_RF,is_PF,is_DD%,is_trades,oos_RF,oos_PF,oos_DD%,oos_trades,oos_net,oosDEF_RF,oosDEF_PF,oosDEF_net
2010-2012,2013,True,8.498,1.6763,5.1622,216,0.296,1.0675,10.4221,103,164.6829,0.0678,1.0154,33.804
2011-2013,2014,True,5.4993,1.3909,6.6461,256,0.8321,1.1733,6.8961,82,306.396,0.3205,1.0912,153.9796
2012-2014,2015,True,4.9038,1.4663,8.2682,271,3.1447,1.7902,7.3023,84,1579.7327,1.9133,1.5034,739.1748
2013-2015,2016,True,6.87,1.5718,8.8713,257,0.259,1.1008,9.6567,68,139.0857,0.2985,1.0926,125.7195
2014-2016,2017,True,7.9343,1.5207,5.2089,218,0.8399,1.2236,6.0257,62,277.3032,1.0207,1.3026,378.249
2015-2017,2018,True,6.9819,1.6985,5.5724,202,1.1402,1.3147,6.0792,66,394.6278,1.0991,1.3429,446.3271
2016-2018,2019,True,12.7838,1.7274,2.9443,206,-0.1747,0.9365,11.0495,76,-101.765,0.2225,1.0662,104.6867
2017-2019,2020,True,8.709,1.5295,3.4317,188,0.6069,1.145,5.6778,68,186.7643,1.081,1.2636,389.6442
2018-2020,2021,True,12.5451,1.934,3.4772,184,-0.7945,0.7058,14.9591,86,-609.951,-0.1902,0.9309,-114.6103
2019-2021,2022,True,8.7729,1.7639,4.9167,186,-0.654,0.7711,11.4528,73,-386.5595,-0.336,0.9039,-203.2079
2020-2022,2023,True,1.9834,1.3499,8.0152,151,-0.6508,0.6399,12.4991,59,-412.6721,-0.3536,0.8356,-248.1747
2021-2023,2024,False,0.214,1.0267,8.7271,182,-0.1786,0.9513,7.6079,64,-68.5313,-0.5682,0.7229,-548.1709
2022-2024,2025,False,1.2884,1.1632,9.0076,184,1.9693,1.5443,5.3231,60,578.5871,5.7477,1.8549,1125.0855
2023-2025,2026,True,5.8567,1.5492,5.4779,178,-0.1488,0.888,9.3644,31,-74.2399,-0.2564,0.8309,-133.711
