train,test,is_feasible,is_RF,is_PF,is_DD%,is_trades,oos_RF,oos_PF,oos_DD%,oos_trades,oos_net,oosDEF_RF,oosDEF_PF,oosDEF_net
2010-2012,2013,True,6.1282,1.5619,5.8743,215,-0.2016,0.9439,12.6589,102,-136.7966,0.4089,1.0883,193.6775
2011-2013,2014,True,4.8803,1.4316,8.0216,265,-0.0955,0.9717,12.1605,88,-58.7036,-0.3184,0.8949,-177.4713
2012-2014,2015,True,4.0765,1.3709,8.1152,254,2.7065,1.8533,8.9286,84,1703.6906,2.5388,1.7158,1051.1593
2013-2015,2016,True,5.3597,1.4745,8.7451,247,0.1091,1.0392,8.7215,66,51.1441,-0.1691,0.9479,-73.3471
2014-2016,2017,True,4.8609,1.4786,7.9786,216,1.3168,1.3729,7.2465,61,477.4937,2.2247,1.6912,864.0971
2015-2017,2018,True,7.2263,1.6318,5.0452,203,0.4856,1.2366,9.8636,63,277.4288,0.5644,1.2006,261.0351
2016-2018,2019,True,4.8028,1.7775,10.3109,189,-0.2457,0.9202,9.5673,69,-124.0142,-0.4252,0.8486,-239.532
2017-2019,2020,True,8.2605,2.6319,6.655,170,0.754,1.2442,6.5798,62,279.4426,0.7995,1.1992,294.4811
2018-2020,2021,True,5.2243,1.89,5.6872,164,-0.6838,0.7464,10.5053,65,-367.6439,-0.141,0.9399,-99.7016
2019-2021,2022,True,5.1634,1.626,5.3099,190,-0.9124,0.6424,13.5805,74,-622.489,-0.3727,0.888,-236.8883
2020-2022,2023,True,2.3464,1.441,9.2436,171,-0.6385,0.5327,16.957,63,-545.2848,-0.1545,0.9343,-99.2157
2021-2023,2024,False,0.1118,1.0224,14.1588,192,-0.9208,0.5895,17.0196,77,-783.5672,-0.6975,0.6379,-716.3723
2022-2024,2025,False,-0.0286,0.9957,10.887,185,0.1505,1.0466,6.2075,60,48.6105,2.8105,1.6144,808.5082
2023-2025,2026,False,1.2727,1.2773,11.3286,174,-0.0946,0.9349,8.1193,31,-40.2171,-0.4273,0.7134,-226.6882
