train,test,is_feasible,is_RF,is_PF,is_DD%,is_trades,oos_RF,oos_PF,oos_DD%,oos_trades,oos_net,oosDEF_RF,oosDEF_PF,oosDEF_net
2010-2012,2013,True,6.555,1.697,4.9493,192,0.0109,1.0032,11.6293,92,6.947,-0.255,0.9194,-163.0773
2011-2013,2014,True,4.4854,1.3722,7.0279,271,0.4846,1.1369,10.8996,93,266.2349,-0.0922,0.9699,-46.2814
2012-2014,2015,True,4.2384,1.3535,7.0209,255,1.0663,1.3234,9.1512,85,564.0407,2.8133,1.8403,1041.1893
2013-2015,2016,True,5.1493,1.4168,7.0323,258,1.2695,1.4294,6.3793,68,447.8729,0.4783,1.1587,175.0596
2014-2016,2017,True,5.1401,1.4936,6.5228,202,0.5883,1.2128,6.9571,63,221.8464,1.2884,1.3135,341.9478
2015-2017,2018,True,9.4099,1.8206,4.0238,199,1.9413,1.5628,5.3827,68,585.2448,0.6584,1.1921,222.6007
2016-2018,2019,True,5.3431,1.5493,5.3889,197,-0.514,0.8124,10.3883,73,-273.274,-0.3943,0.87,-182.3433
2017-2019,2020,True,5.9646,1.5921,4.4094,161,0.5288,1.21,7.2049,65,204.243,-0.2818,0.8742,-173.874
2018-2020,2021,True,6.0896,1.8785,5.8703,163,-0.33,0.9095,7.1451,68,-123.8353,0.6815,1.1879,263.3075
2019-2021,2022,True,5.7139,1.6858,5.6301,169,-0.7946,0.7453,10.0183,73,-403.4502,-0.6579,0.6641,-634.1624
2020-2022,2023,False,1.4155,1.269,8.0639,156,-0.4358,0.7746,10.6683,61,-237.4845,-0.4833,0.8123,-259.1269
2021-2023,2024,False,0.3123,1.0771,15.6307,199,-0.7111,0.6725,14.5052,79,-515.7198,-0.5756,0.7764,-356.0519
2022-2024,2025,True,1.5451,1.5116,13.9228,182,1.4336,1.7363,5.6327,52,421.5501,1.7754,1.3912,455.1688
2023-2025,2026,True,2.5681,1.355,7.3816,187,2.4012,2.1547,3.7945,29,497.1626,-0.2218,0.8729,-87.6372
