train,test,is_feasible,is_RF,is_PF,is_DD%,is_trades,oos_RF,oos_PF,oos_DD%,oos_trades,oos_net,oosDEF_RF,oosDEF_PF,oosDEF_net
2010-2012,2013,True,8.0244,1.6096,5.1607,214,-0.0515,0.9876,10.391,96,-28.2698,0.0678,1.0154,33.804
2011-2013,2014,True,3.8943,1.3231,7.0015,260,0.3209,1.0884,10.4185,83,168.7523,0.3205,1.0912,153.9796
2012-2014,2015,True,4.6745,1.385,7.7105,273,2.0883,1.5574,8.0013,81,1055.5781,1.9133,1.5034,739.1748
2013-2015,2016,True,4.2187,1.3469,9.109,262,0.354,1.11,8.8067,75,175.247,0.2985,1.0926,125.7195
2014-2016,2017,True,6.2369,1.5335,5.9329,212,0.0461,1.0131,7.0664,60,16.9515,1.0207,1.3026,378.249
2015-2017,2018,True,6.6885,1.5611,4.7323,202,1.035,1.459,8.836,66,541.1153,1.0991,1.3429,446.3271
2016-2018,2019,True,5.1174,1.5574,6.1728,193,0.3584,1.1015,8.2183,75,161.9394,0.2225,1.0662,104.6867
2017-2019,2020,True,5.1664,1.6574,6.1812,161,1.1841,1.5119,7.6264,63,510.8972,1.081,1.2636,389.6442
2018-2020,2021,True,6.2215,1.8376,6.1883,163,-0.5934,0.8521,7.1803,67,-218.4501,-0.1902,0.9309,-114.6103
2019-2021,2022,True,8.3224,1.7312,3.7605,176,-0.912,0.6324,11.4002,64,-521.9705,-0.336,0.9039,-203.2079
2020-2022,2023,False,1.1744,1.2364,10.1369,170,-0.5878,0.5918,15.8662,62,-469.7123,-0.3536,0.8356,-248.1747
2021-2023,2024,False,-0.4928,0.9085,11.01,163,-0.698,0.6346,13.8408,62,-487.6998,-0.5682,0.7229,-548.1709
2022-2024,2025,False,0.1229,1.0195,11.3023,183,1.5099,1.4036,4.6404,55,370.2209,5.7477,1.8549,1125.0855
2023-2025,2026,True,1.9409,1.3445,12.4041,186,0.8072,1.4371,4.6863,27,201.1071,-0.2564,0.8309,-133.711
