variant,fold,train,test,feasible,IS_sharpe,IS_pf,IS_dd,IS_trades,OOS_sharpe,OOS_pf,OOS_dd,OOS_trades,OOS_net
default,1,2010-2012,2013,True,1.6794,1.6785,6.1341,188,-0.2621,0.9321,20.5189,91,-76.5108
default,2,2011-2013,2014,True,1.0795,1.4488,8.2299,236,0.7059,1.2593,5.8966,73,114.3411
default,3,2012-2014,2015,False,0.9958,1.4001,9.1275,230,1.0442,1.4538,7.1967,74,182.7463
default,4,2013-2015,2016,True,1.0924,1.4746,7.9871,238,0.6374,1.211,3.471,69,53.8517
default,5,2014-2016,2017,True,1.5859,1.6657,7.5838,216,0.2023,1.0709,5.456,67,32.3116
default,6,2015-2017,2018,True,1.9451,1.6789,8.34,210,1.3155,1.4431,7.5572,66,356.5483
default,7,2016-2018,2019,True,1.698,1.5563,6.9301,202,0.3841,1.1033,8.2748,73,93.4992
default,8,2017-2019,2020,True,1.1877,1.3583,7.874,200,0.4065,1.1096,8.1742,71,79.9526
default,9,2018-2020,2021,True,1.11,1.3568,6.6026,207,0.3711,1.1044,8.0754,69,74.1236
default,10,2019-2021,2022,False,0.7597,1.2352,8.6132,219,-2.3024,0.5617,19.8923,85,-381.6477
default,11,2020-2022,2023,False,0.1916,1.0586,10.4626,230,-1.061,0.7233,9.1882,67,-109.4195
default,12,2021-2023,2024,False,-0.5321,0.8379,16.3949,225,-0.9646,0.76,6.9369,83,-103.7915
default,13,2022-2024,2025-2026,False,-0.4846,0.8628,11.8705,235,-0.0734,0.9749,4.7012,100,-9.6108
gong,1,2010-2012,2013,True,1.6395,1.7548,2.7258,194,0.5236,1.2089,9.5624,91,100.8671
gong,2,2011-2013,2014,True,1.1439,1.4974,8.7634,236,0.8571,1.324,6.6747,73,166.1271
gong,3,2012-2014,2015,True,1.0211,1.4282,9.4836,230,0.9436,1.3937,7.8988,74,160.1005
gong,4,2013-2015,2016,True,1.1709,1.5216,9.2539,238,0.7074,1.243,4.5349,69,82.6043
gong,5,2014-2016,2017,True,1.569,1.7011,7.9844,216,0.5033,1.2251,6.2647,67,102.6724
gong,6,2015-2017,2018,True,1.335,1.6234,7.4546,210,0.699,1.2997,12.7867,66,218.6462
gong,7,2016-2018,2019,True,1.2767,1.6244,4.295,202,-1.4257,0.6588,10.4146,74,-145.8706
gong,8,2017-2019,2020,False,0.7629,1.3413,5.6898,207,0.0277,1.0088,6.0631,72,3.3268
gong,9,2018-2020,2021,False,0.8041,1.2973,6.3211,212,-1.2938,0.7025,9.6165,73,-127.8389
gong,10,2019-2021,2022,False,0.18,1.0603,8.4746,219,-1.2866,0.68,14.3357,85,-181.991
gong,11,2020-2022,2023,False,0.1017,1.0338,10.9117,230,-0.6633,0.7751,8.5903,67,-94.6175
gong,12,2021-2023,2024,False,0.0072,1.0025,21.6036,219,-1.6222,0.63,15.6907,79,-195.104
gong,13,2022-2024,2025-2026,False,-0.309,0.9078,14.359,235,0.0496,1.0175,6.2399,100,8.0902
