<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.01	07:00:00	73116.67	73199.66	72922.19	72973.02	2246	0	1400
2026.06.01	07:30:00	72973.06	72993.98	72691.10	72796.40	2488	0	1400
2026.06.01	08:00:00	72796.46	72863.78	72607.31	72729.99	2125	0	1400
2026.06.01	08:30:00	72730.18	72858.55	72606.28	72858.55	842	0	1400
2026.06.01	09:00:00	72908.69	73100.30	72908.64	72997.29	1813	0	1400
2026.06.01	09:30:00	72997.20	73044.54	72818.00	72867.69	2153	0	1400
2026.06.01	10:00:00	72873.21	72899.38	72657.26	72699.72	1928	0	1400
2026.06.01	10:30:00	72703.29	72789.47	72578.00	72744.16	1927	0	1400
2026.06.01	11:00:00	72745.78	72760.71	72638.04	72656.93	1786	0	1400
2026.06.01	11:30:00	72656.99	72762.58	72208.51	72475.97	2457	0	1400
2026.06.01	12:00:00	72477.67	72606.85	71876.54	72212.18	4117	0	1400
2026.06.01	12:30:00	72212.26	72320.77	72101.17	72201.62	2447	0	1400
2026.06.01	13:00:00	72202.51	72228.56	71713.65	71812.52	4108	0	1400
2026.06.01	13:30:00	71812.66	72208.30	71364.59	71702.42	5798	0	1400
2026.06.01	14:00:00	71712.21	71885.20	71470.29	71528.80	4214	0	1400
2026.06.01	14:30:00	71528.78	71613.76	71398.04	71565.57	3002	0	1400
2026.06.01	15:00:00	71568.35	71677.17	71055.68	71073.58	3099	0	1400
2026.06.01	15:30:00	71073.64	71497.69	71053.12	71117.59	3130	0	1400
2026.06.01	16:00:00	71117.58	71194.12	70669.70	71089.51	3446	0	1400
2026.06.01	16:30:00	71089.87	71621.10	71033.02	71554.33	2686	0	1400
2026.06.01	17:00:00	71554.32	71744.28	71455.17	71730.24	2588	0	1400
2026.06.01	17:30:00	71728.39	71795.06	71520.20	71638.05	2984	0	1400
2026.06.01	18:00:00	71635.61	71690.97	71365.19	71544.81	2153	0	1400
2026.06.01	18:30:00	71545.24	71675.41	71376.33	71487.90	2140	0	1400
2026.06.01	19:00:00	71487.83	71622.72	71376.01	71617.80	2080	0	1400
