<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.22	22:00:00	5919.99	5952.01	5912.84	5949.13	6080	0	59
2025.06.22	22:30:00	5949.26	5961.48	5949.26	5955.30	2144	0	58
2025.06.22	23:00:00	5955.12	5956.00	5947.27	5953.24	1823	0	58
2025.06.22	23:30:00	5953.26	5956.12	5950.03	5953.21	1331	0	57
2025.06.23	00:00:00	5953.06	5953.38	5943.31	5945.27	2516	0	55
2025.06.23	00:30:00	5945.11	5949.69	5943.31	5947.51	1267	0	56
2025.06.23	01:00:00	5947.52	5952.23	5944.77	5945.33	1407	0	55
2025.06.23	01:30:00	5945.08	5950.52	5944.30	5950.31	739	0	55
2025.06.23	02:00:00	5950.47	5953.76	5949.80	5953.02	758	0	55
2025.06.23	02:30:00	5953.01	5956.27	5952.27	5954.23	677	0	55
2025.06.23	03:00:00	5954.07	5955.76	5953.31	5954.27	442	0	54
2025.06.23	03:30:00	5954.27	5957.22	5954.27	5955.95	413	0	55
2025.06.23	04:00:00	5956.02	5957.71	5954.56	5956.08	424	0	55
2025.06.23	04:30:00	5956.23	5956.66	5954.56	5955.56	297	0	55
2025.06.23	05:00:00	5955.73	5965.98	5955.52	5961.56	971	0	55
2025.06.23	05:30:00	5961.72	5963.18	5959.28	5963.01	765	0	56
2025.06.23	06:00:00	5963.01	5966.71	5960.08	5962.51	1189	0	56
2025.06.23	06:30:00	5962.52	5969.45	5961.11	5964.97	1059	0	55
2025.06.23	07:00:00	5965.19	5978.70	5965.05	5975.17	2248	0	56
2025.06.23	07:30:00	5974.98	5983.84	5973.95	5982.23	1730	0	55
2025.06.23	08:00:00	5982.16	5993.33	5979.98	5986.45	2010	0	56
2025.06.23	08:30:00	5986.28	5988.71	5984.68	5987.09	1298	0	56
2025.06.23	09:00:00	5987.04	5992.11	5980.95	5985.35	1507	0	55
2025.06.23	09:30:00	5985.19	5987.21	5983.49	5983.49	716	0	54
2025.06.23	10:00:00	5983.51	5991.79	5978.67	5979.08	2103	0	54
2025.06.23	10:30:00	5979.03	5981.38	5974.67	5975.74	1273	0	56
2025.06.23	11:00:00	5975.93	5977.35	5961.23	5964.86	1775	0	55
2025.06.23	11:30:00	5965.06	5967.35	5956.69	5966.92	2109	0	56
2025.06.23	12:00:00	5966.98	5972.56	5965.19	5969.19	1584	0	56
2025.06.23	12:30:00	5969.32	5981.47	5968.67	5980.85	1290	0	55
2025.06.23	13:00:00	5980.70	5982.34	5973.18	5979.05	2389	0	55
2025.06.23	13:30:00	5979.39	5995.80	5964.69	5995.43	8448	0	54
2025.06.23	14:00:00	5995.59	6012.09	5995.59	6004.81	5193	0	55
2025.06.23	14:30:00	6005.04	6007.08	5993.42	5993.82	3824	0	57
2025.06.23	15:00:00	5994.07	6005.84	5992.70	5993.17	3104	0	57
2025.06.23	15:30:00	5992.96	5996.60	5986.45	5987.66	4327	0	56
2025.06.23	16:00:00	5987.83	5990.09	5970.47	5972.17	4589	0	56
2025.06.23	16:30:00	5971.91	5983.53	5947.41	5964.80	16684	0	54
2025.06.23	17:00:00	5965.04	6009.74	5960.88	6007.07	11490	0	54
2025.06.23	17:30:00	6007.24	6021.78	6007.24	6014.85	7287	0	55
2025.06.23	18:00:00	6015.06	6020.97	6012.96	6013.20	4058	0	56
2025.06.23	18:30:00	6013.34	6017.81	6009.42	6014.67	3272	0	56
2025.06.23	19:00:00	6014.46	6023.85	6013.68	6021.72	3216	0	56
2025.06.23	19:30:00	6021.49	6033.94	6018.12	6028.89	4164	0	57
2025.06.23	20:00:00	6029.01	6029.88	6024.71	6028.74	1220	0	58
