<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.22	22:00:00	21399.08	21549.38	21363.40	21535.85	10735	0	193
2025.06.22	22:30:00	21536.31	21581.70	21536.31	21557.19	3746	0	191
2025.06.22	23:00:00	21556.65	21560.89	21526.69	21553.83	2913	0	194
2025.06.22	23:30:00	21554.09	21568.12	21540.18	21558.72	2079	0	189
2025.06.23	00:00:00	21558.97	21559.15	21505.47	21516.49	3864	0	186
2025.06.23	00:30:00	21516.49	21535.91	21507.72	21529.45	2233	0	187
2025.06.23	01:00:00	21529.27	21548.09	21513.06	21514.69	2342	0	185
2025.06.23	01:30:00	21514.92	21538.63	21510.21	21537.22	1611	0	185
2025.06.23	02:00:00	21537.45	21555.54	21535.55	21552.69	1558	0	186
2025.06.23	02:30:00	21552.69	21569.21	21546.79	21556.68	1421	0	186
2025.06.23	03:00:00	21556.68	21566.41	21553.80	21559.23	1149	0	187
2025.06.23	03:30:00	21559.06	21570.44	21555.94	21564.67	1166	0	186
2025.06.23	04:00:00	21565.09	21571.42	21555.82	21565.00	1017	0	186
2025.06.23	04:30:00	21564.97	21567.15	21557.00	21562.73	807	0	188
2025.06.23	05:00:00	21562.48	21612.98	21561.75	21596.49	2002	0	186
2025.06.23	05:30:00	21596.53	21607.65	21588.46	21607.42	1571	0	188
2025.06.23	06:00:00	21607.24	21625.87	21596.08	21607.44	2074	0	189
2025.06.23	06:30:00	21607.23	21632.91	21602.42	21617.06	1887	0	189
2025.06.23	07:00:00	21617.53	21670.13	21617.26	21649.01	3653	0	187
2025.06.23	07:30:00	21649.49	21702.13	21644.78	21694.14	2982	0	190
2025.06.23	08:00:00	21692.95	21741.92	21677.52	21707.24	3654	0	189
2025.06.23	08:30:00	21707.02	21716.67	21695.29	21704.95	2483	0	189
2025.06.23	09:00:00	21704.53	21731.67	21679.56	21697.92	2732	0	188
2025.06.23	09:30:00	21697.50	21704.42	21681.26	21681.28	1537	0	188
2025.06.23	10:00:00	21681.28	21721.88	21665.18	21669.45	3628	0	188
2025.06.23	10:30:00	21669.26	21679.46	21644.30	21655.27	2425	0	188
2025.06.23	11:00:00	21655.67	21661.68	21589.26	21610.98	3291	0	188
2025.06.23	11:30:00	21610.90	21626.48	21572.41	21623.00	3779	0	187
2025.06.23	12:00:00	21623.57	21651.41	21615.17	21635.44	2956	0	187
2025.06.23	12:30:00	21635.69	21683.93	21633.71	21681.25	2431	0	187
2025.06.23	13:00:00	21681.20	21686.95	21654.01	21666.87	4032	0	188
2025.06.23	13:30:00	21667.12	21726.21	21556.92	21722.82	17467	0	183
2025.06.23	14:00:00	21723.26	21807.93	21723.26	21780.17	9860	0	184
2025.06.23	14:30:00	21780.47	21813.90	21747.07	21750.50	7794	0	183
2025.06.23	15:00:00	21750.95	21801.95	21741.79	21743.27	5760	0	182
2025.06.23	15:30:00	21742.75	21763.47	21719.01	21734.51	7651	0	184
2025.06.23	16:00:00	21734.75	21740.20	21653.31	21659.03	8170	0	183
2025.06.23	16:30:00	21658.55	21710.03	21537.01	21635.56	27148	0	184
2025.06.23	17:00:00	21635.98	21827.15	21617.25	21813.41	18185	0	187
2025.06.23	17:30:00	21813.82	21875.24	21813.82	21850.42	10785	0	187
2025.06.23	18:00:00	21850.79	21882.66	21837.73	21839.74	6445	0	186
2025.06.23	18:30:00	21840.60	21857.46	21817.53	21832.04	5184	0	183
2025.06.23	19:00:00	21831.77	21866.08	21820.52	21851.46	5364	0	183
2025.06.23	19:30:00	21851.28	21887.96	21825.84	21866.96	6320	0	182
2025.06.23	20:00:00	21867.21	21874.42	21847.78	21868.98	2681	0	187
2025.06.23	20:30:00	21868.50	21880.27	21863.23	21867.82	1323	0	188
2025.06.23	22:00:00	21870.68	22014.71	21864.92	21995.66	5624	0	193
2025.06.23	22:30:00	21995.35	22007.57	21970.19	22002.39	2711	0	197
2025.06.23	23:00:00	22002.50	22053.21	21999.47	22037.26	3126	0	198
2025.06.23	23:30:00	22037.01	22049.44	22020.23	22034.74	2051	0	198
2025.06.24	00:00:00	22034.98	22046.48	22019.37	22029.21	2126	0	191
2025.06.24	00:30:00	22029.41	22039.53	21990.64	22026.44	2995	0	192
2025.06.24	01:00:00	22026.27	22051.18	22013.43	22041.73	2337	0	189
2025.06.24	01:30:00	22041.98	22068.82	22039.32	22063.76	1769	0	189
2025.06.24	02:00:00	22063.60	22066.60	22016.80	22033.33	2563	0	188
2025.06.24	02:30:00	22032.88	22038.77	22013.58	22032.85	1579	0	190
2025.06.24	03:00:00	22032.76	22044.86	22027.29	22043.29	1202	0	189
2025.06.24	03:30:00	22043.37	22049.54	22039.36	22044.00	1077	0	190
2025.06.24	04:00:00	22043.55	22045.85	22018.48	22034.48	1425	0	191
2025.06.24	04:30:00	22034.48	22046.76	22031.88	22041.13	921	0	189
2025.06.24	05:00:00	22041.31	22057.17	22039.81	22056.29	1166	0	188
2025.06.24	05:30:00	22055.85	22100.71	22053.86	22092.82	2154	0	190
2025.06.24	06:00:00	22092.61	22161.96	22092.61	22160.91	3164	0	193
2025.06.24	06:30:00	22160.32	22166.00	22137.15	22153.90	2666	0	195
2025.06.24	07:00:00	22154.97	22176.90	22119.42	22119.42	4769	0	192
2025.06.24	07:30:00	22119.86	22125.09	22056.18	22102.68	5724	0	193
2025.06.24	08:00:00	22102.03	22127.86	22084.61	22125.62	4760	0	193
2025.06.24	08:30:00	22125.62	22125.67	22089.64	22097.75	2399	0	193
2025.06.24	09:00:00	22097.84	22131.89	22097.45	22130.96	2092	0	191
2025.06.24	09:30:00	22130.87	22146.11	22106.72	22108.70	1821	0	189
2025.06.24	10:00:00	22108.21	22116.03	22077.13	22088.34	2279	0	189
2025.06.24	10:30:00	22088.82	22097.58	22074.34	22079.63	2299	0	192
2025.06.24	11:00:00	22079.21	22096.26	22046.62	22092.79	3141	0	190
2025.06.24	11:30:00	22092.32	22104.98	22079.71	22100.38	2764	0	192
2025.06.24	12:00:00	22100.44	22108.58	22067.23	22081.11	2655	0	190
2025.06.24	12:30:00	22081.20	22097.87	22054.19	22080.38	3397	0	191
2025.06.24	13:00:00	22080.63	22103.99	22073.17	22081.44	3152	0	191
2025.06.24	13:30:00	22081.97	22128.16	22055.19	22086.64	13844	0	184
2025.06.24	14:00:00	22087.25	22120.41	22061.89	22103.10	9010	0	183
2025.06.24	14:30:00	22103.38	22135.62	22096.37	22110.83	4770	0	181
2025.06.24	15:00:00	22110.58	22168.43	22110.07	22168.43	4239	0	183
2025.06.24	15:30:00	22168.67	22182.92	22154.46	22157.65	3251	0	182
2025.06.24	16:00:00	22157.88	22191.63	22152.98	22186.90	2922	0	183
2025.06.24	16:30:00	22186.53	22211.97	22180.54	22194.42	3010	0	182
2025.06.24	17:00:00	22194.80	22208.40	22174.70	22182.41	3431	0	183
2025.06.24	17:30:00	22182.46	22219.92	22182.39	22211.36	2620	0	183
2025.06.24	18:00:00	22211.80	22225.22	22206.66	22209.50	2322	0	183
2025.06.24	18:30:00	22209.63	22221.68	22201.73	22218.98	2164	0	182
2025.06.24	19:00:00	22218.77	22240.43	22214.44	22214.99	2411	0	182
2025.06.24	19:30:00	22214.75	22226.88	22199.70	22201.11	3956	0	182
2025.06.24	20:00:00	22201.37	22203.58	22189.48	22200.23	1917	0	185
2025.06.24	20:30:00	22199.96	22212.60	22199.02	22202.22	1034	0	186
2025.06.24	22:00:00	22200.69	22202.10	22182.73	22200.24	1790	0	190
2025.06.24	22:30:00	22200.15	22201.44	22186.73	22192.51	902	0	193
2025.06.24	23:00:00	22192.67	22205.77	22184.91	22197.36	1056	0	192
2025.06.24	23:30:00	22197.18	22226.28	22193.26	22220.73	1101	0	193
2025.06.25	00:00:00	22221.29	22230.55	22210.27	22225.12	1827	0	194
2025.06.25	00:30:00	22225.22	22227.66	22206.91	22221.47	1228	0	191
2025.06.25	01:00:00	22221.26	22221.26	22192.46	22192.67	1244	0	192
2025.06.25	01:30:00	22192.26	22202.40	22189.53	22196.50	1289	0	191
2025.06.25	02:00:00	22196.27	22198.92	22190.54	22195.27	915	0	190
2025.06.25	02:30:00	22195.17	22203.13	22194.37	22201.50	683	0	187
2025.06.25	03:00:00	22201.46	22217.17	22201.46	22216.18	874	0	189
2025.06.25	03:30:00	22216.17	22218.58	22203.02	22203.29	659	0	186
2025.06.25	04:00:00	22203.02	22215.21	22202.83	22214.68	518	0	186
2025.06.25	04:30:00	22214.51	22222.95	22213.32	22221.68	443	0	187
2025.06.25	05:00:00	22221.77	22231.66	22216.32	22229.66	781	0	187
2025.06.25	05:30:00	22229.23	22232.64	22222.92	22222.92	738	0	189
2025.06.25	06:00:00	22222.75	22230.51	22216.56	22223.13	1177	0	190
2025.06.25	06:30:00	22223.66	22225.97	22216.05	22216.50	951	0	192
2025.06.25	07:00:00	22215.33	22227.27	22209.45	22224.98	1894	0	191
2025.06.25	07:30:00	22225.18	22228.67	22202.47	22220.14	1726	0	191
2025.06.25	08:00:00	22220.40	22228.63	22205.70	22215.29	1838	0	189
2025.06.25	08:30:00	22215.14	22230.82	22203.79	22230.77	1301	0	187
2025.06.25	09:00:00	22230.78	22249.63	22224.14	22229.22	1447	0	188
2025.06.25	09:30:00	22229.16	22232.13	22218.81	22221.43	1040	0	190
2025.06.25	10:00:00	22221.43	22230.47	22210.81	22228.09	1096	0	187
2025.06.25	10:30:00	22227.69	22253.75	22224.43	22244.74	1568	0	189
2025.06.25	11:00:00	22245.06	22257.14	22240.09	22250.74	1347	0	188
2025.06.25	11:30:00	22250.78	22288.68	22250.78	22287.19	1625	0	189
2025.06.25	12:00:00	22286.85	22291.38	22277.51	22290.13	1482	0	188
2025.06.25	12:30:00	22289.87	22305.69	22279.47	22304.44	1649	0	187
2025.06.25	13:00:00	22304.71	22307.52	22291.27	22295.81	1798	0	187
2025.06.25	13:30:00	22295.55	22344.43	22282.74	22318.49	10884	0	186
2025.06.25	14:00:00	22318.96	22324.89	22261.67	22284.44	8112	0	185
2025.06.25	14:30:00	22284.69	22320.46	22272.87	22288.43	6183	0	185
2025.06.25	15:00:00	22288.71	22290.64	22241.57	22259.28	5560	0	185
2025.06.25	15:30:00	22259.23	22260.42	22225.58	22241.27	5088	0	185
2025.06.25	16:00:00	22240.58	22254.01	22217.02	22230.90	3966	0	185
2025.06.25	16:30:00	22231.21	22241.00	22207.00	22238.81	3754	0	185
2025.06.25	17:00:00	22239.12	22258.66	22219.52	22253.01	3559	0	183
2025.06.25	17:30:00	22253.22	22254.97	22185.50	22209.45	5613	0	184
2025.06.25	18:00:00	22210.30	22230.91	22200.26	22225.29	3842	0	184
2025.06.25	18:30:00	22225.46	22226.68	22204.29	22216.72	2982	0	182
2025.06.25	19:00:00	22216.53	22256.90	22215.60	22237.03	3153	0	183
2025.06.25	19:30:00	22236.57	22261.95	22217.23	22259.30	4820	0	184
2025.06.25	20:00:00	22260.07	22276.62	22247.41	22252.71	2226	0	187
2025.06.25	20:30:00	22252.96	22269.66	22252.54	22269.20	1055	0	187
2025.06.25	22:00:00	22256.89	22286.49	22250.63	22256.77	1617	0	191
2025.06.25	22:30:00	22257.21	22265.80	22252.16	22262.62	950	0	191
2025.06.25	23:00:00	22262.61	22264.57	22237.51	22245.77	1872	0	191
2025.06.25	23:30:00	22245.51	22267.75	22239.49	22263.43	1414	0	193
2025.06.26	00:00:00	22263.74	22276.25	22255.83	22274.99	1547	0	192
2025.06.26	00:30:00	22275.03	22279.83	22270.79	22275.27	1090	0	190
2025.06.26	01:00:00	22275.30	22278.28	22264.23	22266.86	1173	0	192
2025.06.26	01:30:00	22266.59	22269.82	22260.51	22266.77	931	0	190
2025.06.26	02:00:00	22266.87	22283.76	22266.34	22275.98	939	0	187
2025.06.26	02:30:00	22276.11	22278.61	22268.90	22276.35	755	0	189
2025.06.26	03:00:00	22276.40	22295.31	22276.40	22294.11	968	0	188
2025.06.26	03:30:00	22293.84	22302.53	22290.80	22293.80	906	0	189
2025.06.26	04:00:00	22294.05	22296.86	22289.01	22294.81	805	0	190
2025.06.26	04:30:00	22294.75	22305.22	22294.17	22303.89	637	0	189
2025.06.26	05:00:00	22303.83	22303.83	22293.11	22295.56	765	0	189
2025.06.26	05:30:00	22295.77	22310.57	22294.50	22310.02	953	0	190
2025.06.26	06:00:00	22310.06	22322.28	22307.35	22318.84	1283	0	190
2025.06.26	06:30:00	22318.46	22342.22	22313.13	22331.76	1316	0	190
2025.06.26	07:00:00	22332.02	22355.32	22322.33	22325.27	1875	0	192
2025.06.26	07:30:00	22325.55	22339.53	22323.27	22330.36	1380	0	191
2025.06.26	08:00:00	22330.53	22373.96	22324.59	22365.56	1999	0	192
2025.06.26	08:30:00	22365.80	22373.19	22356.56	22358.83	1336	0	191
2025.06.26	09:00:00	22358.89	22364.22	22347.62	22351.88	1253	0	191
2025.06.26	09:30:00	22351.76	22352.32	22340.78	22347.27	1277	0	192
2025.06.26	10:00:00	22347.07	22376.85	22338.52	22368.69	1341	0	190
2025.06.26	10:30:00	22368.75	22373.23	22353.39	22354.14	1224	0	189
2025.06.26	11:00:00	22354.43	22370.22	22351.52	22362.80	1570	0	191
2025.06.26	11:30:00	22362.73	22373.85	22353.34	22373.85	1304	0	189
2025.06.26	12:00:00	22374.17	22381.86	22364.56	22370.91	1472	0	188
2025.06.26	12:30:00	22370.93	22375.77	22317.60	22352.22	3548	0	191
2025.06.26	13:00:00	22351.55	22360.75	22326.88	22349.84	2823	0	190
2025.06.26	13:30:00	22350.27	22363.49	22274.60	22342.78	12426	0	186
2025.06.26	14:00:00	22343.20	22373.68	22337.53	22368.28	7191	0	184
2025.06.26	14:30:00	22368.03	22395.17	22356.47	22369.52	4825	0	185
2025.06.26	15:00:00	22369.92	22410.21	22362.90	22363.76	3923	0	183
2025.06.26	15:30:00	22364.19	22414.37	22350.40	22408.28	4053	0	184
2025.06.26	16:00:00	22408.27	22430.38	22404.77	22412.22	2910	0	183
2025.06.26	16:30:00	22412.22	22421.70	22395.03	22405.20	2535	0	183
2025.06.26	17:00:00	22405.02	22436.71	22395.76	22432.79	2772	0	184
2025.06.26	17:30:00	22432.98	22449.76	22432.98	22438.46	2354	0	183
2025.06.26	18:00:00	22438.72	22485.60	22433.45	22472.34	3178	0	183
2025.06.26	18:30:00	22472.50	22482.46	22453.82	22465.96	2481	0	183
2025.06.26	19:00:00	22466.21	22478.44	22452.30	22470.45	2609	0	184
2025.06.26	19:30:00	22470.52	22492.44	22452.97	22471.18	4487	0	184
2025.06.26	20:00:00	22471.43	22472.96	22440.40	22466.00	2602	0	189
