<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.01.18	00:00:00	1292.283	1292.398	1290.803	1290.834	1076	0	197
2019.01.18	00:30:00	1290.833	1291.135	1290.517	1291.089	1083	0	198
2019.01.18	01:00:00	1291.089	1291.792	1291.044	1291.716	1131	0	198
2019.01.18	01:30:00	1291.721	1291.927	1290.485	1290.804	1189	0	199
2019.01.18	02:00:00	1290.812	1291.715	1290.348	1291.235	1025	0	198
2019.01.18	02:30:00	1291.224	1291.442	1290.788	1291.323	910	0	198
2019.01.18	03:00:00	1291.323	1292.360	1291.311	1291.925	942	0	197
2019.01.18	03:30:00	1291.926	1292.201	1291.710	1291.712	760	0	198
2019.01.18	04:00:00	1291.707	1292.107	1291.561	1291.803	706	0	198
2019.01.18	04:30:00	1291.796	1291.936	1291.630	1291.929	531	0	198
2019.01.18	05:00:00	1291.929	1292.006	1291.428	1291.434	561	0	198
2019.01.18	05:30:00	1291.432	1291.435	1290.849	1291.082	738	0	199
2019.01.18	06:00:00	1291.108	1292.106	1290.841	1291.891	954	0	198
2019.01.18	06:30:00	1291.892	1292.170	1291.340	1292.038	940	0	199
2019.01.18	07:00:00	1292.035	1292.152	1290.523	1290.541	1178	0	199
2019.01.18	07:30:00	1290.549	1290.996	1289.864	1290.067	1352	0	199
2019.01.18	08:00:00	1290.062	1290.136	1288.240	1289.191	1441	0	198
2019.01.18	08:30:00	1289.192	1289.192	1287.717	1288.594	1521	0	196
2019.01.18	09:00:00	1288.610	1288.674	1284.403	1284.495	1577	0	198
2019.01.18	09:30:00	1284.488	1285.477	1283.624	1285.080	1610	0	199
2019.01.18	10:00:00	1285.076	1285.749	1284.972	1285.708	1378	0	197
2019.01.18	10:30:00	1285.676	1285.916	1285.045	1285.902	1239	0	196
2019.01.18	11:00:00	1285.907	1286.090	1285.409	1285.551	1167	0	196
2019.01.18	11:30:00	1285.553	1285.693	1284.756	1284.780	1211	0	196
2019.01.18	12:00:00	1284.771	1286.439	1284.556	1286.211	1428	0	198
2019.01.18	12:30:00	1286.211	1286.406	1285.347	1285.832	1298	0	196
2019.01.18	13:00:00	1285.825	1285.825	1281.989	1282.305	1848	0	198
2019.01.18	13:30:00	1282.314	1283.747	1281.223	1283.222	1823	0	196
2019.01.18	14:00:00	1283.218	1283.764	1281.831	1282.502	1712	0	197
2019.01.18	14:30:00	1282.509	1283.312	1281.807	1283.160	1923	0	196
2019.01.18	15:00:00	1283.190	1285.335	1282.698	1282.897	2175	0	195
2019.01.18	15:30:00	1282.890	1283.642	1282.291	1283.275	1902	0	195
2019.01.18	16:00:00	1283.299	1284.340	1282.319	1282.381	1742	0	194
2019.01.18	16:30:00	1282.379	1283.240	1281.931	1282.457	1449	0	195
2019.01.18	17:00:00	1282.467	1283.310	1282.310	1282.985	1342	0	194
2019.01.18	17:30:00	1282.971	1283.144	1282.474	1282.539	1275	0	193
2019.01.18	18:00:00	1282.558	1283.462	1282.453	1283.192	1340	0	193
2019.01.18	18:30:00	1283.186	1283.386	1282.292	1282.389	1149	0	193
2019.01.18	19:00:00	1282.392	1282.953	1282.184	1282.594	1141	0	194
2019.01.18	19:30:00	1282.577	1282.923	1281.954	1282.034	1079	0	193
2019.01.18	20:00:00	1282.027	1282.236	1281.318	1281.698	1086	0	192
2019.01.18	20:30:00	1281.692	1281.790	1280.615	1280.640	1003	0	194
2019.01.18	21:00:00	1280.655	1280.971	1280.655	1280.861	546	0	196
2019.01.18	21:30:00	1280.856	1281.533	1280.853	1281.482	448	0	196
2019.01.20	23:00:00	1282.538	1283.237	1282.506	1282.918	620	0	198
2019.01.20	23:30:00	1282.927	1283.011	1282.464	1282.578	657	0	193
